3G,4G,5G,Audio Jack,Battery,Bluetooth,Brand Name,Color,CPU Clock Speed,CPU Cores,Display Resolution,Display Size,Display Type,Expandable Storage,Flash,Fingerprint Scanner,Fingerprint Scanner Type,GPS,GPU Name,Hybrid Slot,Internal Storage,Model Name,Model No,Name,No of Front Cameras,No of Rear Cameras,OS,OTG Compatible,Primary Camera,RAM,Ratings,Reviews,Stars,Secondary Camera,Sim Type,Sim Size,Touchscreen,Weight,WiFi
Yes,YES,,3.5 mm,No,,I,Champagne & Golden,1.5 GHz,Quad Core,854 x 480 Pixels,12.7 cm (5 inch),HD,32 GB,Yes,,,,,No,8 GB,K-1,K1,I Kall K-1,1.0,1,Android Marshmallow 6,Yes,5MP,1 GB,3089,421,3.4,2MP,Dual Sim,Micro SIM,Yes,,Yes
HSPA+,YES,,3.5mm,5000 mAh,v5.0,OPPO,Space Purple,1.8 GHz,Octa Core,1600 x 720 Pixels,16.51 cm (6.5 inch),TFT-LCD,,Rear LED Flash,,,,Adreno 610,No,128 GB,A9 2020,CPH1937,OPPO A9 2020,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,4 GB,2227,212,4.4,16MP,Dual Sim,Dual Nano SIM,"Capacitive Screen, Multi-touch",195 g,802.11a/b/g/n/ac
YES,YES,,,2940 mAh,,Leagoo,Dazzle Black,1.5 GHz,Octa Core,1440 x 720$$Pixels,14.53 cm (5.72 inch),,,,,,,,Yes,32 GB,S8,S8,Leagoo S8,,1,Android Nougat 7.0,Yes,13MP,3 GB,3,0,3.3,,Dual Sim,,Yes,,
"HSDPA (Downlink Speed): 42.2 Mbps, HSUPA (Uplink Speed): 11.5 Mbps",YES,,3.5 mm,4000 mAh,4,Micromax,Champagne,1.3 GHz,Octa Core,1920 x 1080,13.97 cm (5.5 inch),IPS LCD,32 GB,Rear Flash,Yes,,Yes,450 MHz,Yes,32 GB,Evok Note,E453,Micromax Evok Note,1.0,1,Android Marshmallow 6,Yes,13MP,3 GB,4031,1002,3.6,5MP,Dual Sim,Nano SIM and Nano SIM,Capacitive,162 g,Yes
Yes,YES,,3.5 mm,3000 mAh,4.1,Nokia,Silver,1.4 GHz,Octa Core,1280 x 720 Pixels,13.21 cm (5.2 inch),IPS LCD,128 GB,Rear Dual Tone Flash,Yes,,,,No,16 GB,5,TA-1053/NOKIA 5 DS,Nokia 5,1.0,1,Android Nougat 7.1.1,Yes,13MP,3 GB,6509,1050,4.1,8MP,Dual Sim,,Yes,,Yes
HSPA+,YES,,3.5mm,4000 mAh,v4.2,OPPO,Unicorn White,2.1 GHz,Octa Core,2400 x 1080 Pixels,16.26 cm (6.4 inch),AMOLED,256 GB,,Yes,In-Display,"A-GPS, GLONASS, BeiDou",ARM Mali G72 MP3 900 MHz,No,128 GB,F15,CPH2001,OPPO F15,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,8 GB,4430,460,4.4,16MP,Dual Sim,Dual Nano SIM,Multi-touch Capacitive Screen,172 g,Yes
HSPA,YES,,,2300 mAh,4,Gionee,Grey,1.3 GHz,Quad Core,1920 x 1080,12.7 cm (5 inch),HD,128 GB,LED,,,A-GPS,,No,16 GB,P7,,Gionee P7,1.0,1,Android Marshmallow 6,Yes,8MP,2 GB,701,108,3.7,5MP,Dual Sim,Micro SIM,Capacitive,167 g,Yes
,YES,,3.5 mm,Li-Ion,,Karbonn,Black Champagne,1.25 GHz,Quad Core,1280x720 pixels,13.97 cm (5.5 inch),,32,Yes,,,,,Yes,16 GB,Aura Note 2,Aura Note 2,Karbonn Aura Note 2,1.0,1,Android Nougat 7,Yes,13MP,2 GB,291,62,3.7,5MP,Dual Sim,,Yes,,Yes
Yes,YES,,,2500 mAh,4,Panasonic,Blue,1.25 GHz,Quad Core,1280 x 720 Pixels,12.7 cm (5 inch),IPS On-cell Touch Panel,128 GB,,Yes,,A-GPS,,Yes,32 GB,Eluga I9,EB-90S50EY9B,Panasonic Eluga I9,1.0,1,Android Nougat 7,Yes,13MP,3 GB,3896,580,3.7,5MP,Dual Sim,Micro SIM and Nano SIM,Yes,143 g,Yes
Yes,,,3.5,1800 mAh,,XOLO,White,1.3 GHz,,480 X 854 Pixels,11.43 cm (4.5 inch),IPS,32 GB,,,,,400,,4 GB,Q600 Club,Xolo Q600 Club White,XOLO Q600 Club,1.0,1,Android KitKat,,5MP,512 MB,244,27,3.8,0.3MP,Dual Sim,Micro SIM,,,Yes
YES,YES,,,4000 mAh,,Lenovo,Grey,1.4 GHz,Octa Core,1080 x 1920 Pixels,13.97 cm (5.5 inch),,,,,,,,Yes,32 GB,K6 Note,K6 Note 3gb,Lenovo K6 Note,,1,Android Marshmallow 6,Yes,16MP,3 GB,3032,516,4.1,,Dual Sim,,Yes,,
HSPA+,YES,,3.5mm,5000 mAh,v5.0,OPPO,Space Purple,1.8 GHz,Octa Core,1600 x 720 Pixels,16.51 cm (6.5 inch),TFT-LCD,,Rear LED Flash,,,,Adreno 610,No,128 GB,A9 2020,CPH1937,OPPO A9 2020,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,8 GB,4235,360,4.3,16MP,Dual Sim,Dual Nano SIM,"Capacitive Screen, Multi-touch",195 g,802.11a/b/g/n/ac
Yes,YES,,3.5 mm,Li-ion,4.2,Vivo,Gold,1.5 GHz,Octa Core,1920 x 1080,13.97 cm (5.5 inch),IPS,256 GB,Yes,Yes,,Yes,ARM MaIi - T860 MP2,No,32 GB,Y69,Vivo 1714,Vivo Y69,1.0,1,Android Nougat 7,Yes,13MP,3 GB,5473,770,4.3,16MP,Dual Sim,Nano SIM and Nano SIM,Capacitive,162.8 g,Yes
