Name,Ratings,Details,Price
"Apple iPhone 7 (Jet Black, 32 GB)",4.5,"32 GB ROM |
11.94 cm (4.7 inch) Retina HD Display
12MP Rear Camera | 7MP Front Camera
Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor
iOS 13 Compatible
Brand Warranty of 1 Year
","₹27,999"
Cellecor C500,5,"32 MB RAM | 64 MB ROM |
6.1 cm (2.4 inch) Display
0.3MP Rear Camera
3000 mAh Battery
1 Year Manufacturer Warranty
","₹1,199"
Cellecor C500,5,"32 MB RAM | 64 MB ROM |
6.1 cm (2.4 inch) Display
0.3MP Rear Camera
3000 mAh Battery
1 Year Manufacturer Warranty
","₹1,199"
Karbonn K Pebble,4.1,"32 MB RAM | 32 MB ROM |
6.1 cm (2.4 inch) Display
0.3MP Rear Camera
800 mAh Battery
Nearby Authorized Service Center
","₹1,190"
"Redmi K20 (Flame Red, 64 GB)",4.5,"6 GB RAM | 64 GB ROM |
16.23 cm (6.39 inch) Full HD+ Display
48MP + 13MP + 8MP | 20MP Front Camera
4000 mAh Li-polymer Battery
Qualcomm Snapdragon 730 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹19,999"
"Samsung Galaxy Note10 Lite (Aura Black, 128 GB)",4.5,"8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.02 cm (6.7 inch) Full HD+ Display
12MP + 12MP + 12MP | 32MP Front Camera
4500 mAh Lithium-ion Battery
Exynos 9810 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹40,999"
"Redmi Y1 (Rose Gold, 32 GB)",4.3,"3 GB RAM | 32 GB ROM | Expandable Upto 128 GB
13.97 cm (5.5 inch) HD Display
13MP Rear Camera | 16MP Front Camera
3080 mAh Battery
Qualcomm Snapdragon 435 Processor
1 Year Manufacturer Warranty
","₹8,699"
"Realme 2 (Diamond Red, 32 GB)",4.5,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
15.75 cm (6.2 inch) HD+ Display
13MP + 2MP | 8MP Front Camera
4230 mAh Li-ion Battery
Qualcomm Snapdragon 450 Octa Core 1.8 GHz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹9,499"
"Realme 2 (Diamond Red, 64 GB)",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
15.75 cm (6.2 inch) HD+ Display
13MP + 2MP | 8MP Front Camera
4230 mAh Li-ion Battery
Qualcomm Snapdragon 450 Octa Core 1.8 GHz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹10,990"
"Zen Cinemax Prime (Gold, 16 GB)",4.2,"1 GB RAM | 16 GB ROM |
13.84 cm (5.45 inch) Display
8MP Rear Camera
2800 mAh Battery
1 Year Manufacturer Warranty
","₹3,290"
"Samsung Galaxy M10 (Ocean Blue, 16 GB)",4.2,"2 GB RAM | 16 GB ROM |
15.8 cm (6.22 inch) Display
13MP Rear Camera
3400 mAh Battery
1
","₹8,190"
"Apple iPhone XR (Blue, 256 GB)",4.6,"256 GB ROM |
15.49 cm (6.1 inch) Display
12MP Rear Camera | 7MP Front Camera
A12 Bionic Chip Processor
Brand Warranty of 1 Year
","₹91,900"
"Redmi Note 5 (Blue, 64 GB)",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 128 GB
15.21 cm (5.99 inch) Full HD+ Display
12MP Rear Camera | 5MP Front Camera
4000 mAh Li Polymer Battery
Qualcomm Snapdragon 625 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹8,999"
Micromax X1i+,5,"Expandable Upto 2 GB
3.68 cm (1.45 inch) NA Display
1800 mAh Li-Ion Battery
1 Year for Mobile & 6 Months for Accessories
","₹2,499"
Samsung Metro 313,4.1,"3.81 cm (1.5 inch) VGA Display
0.3MP Rear Camera
1000 mAh Battery
1 Year Manufacturer Warranty
","₹2,120"
"Lenovo Phab 2 (Champagne Gold, 32 GB)",4,"3 GB RAM | 32 GB ROM | Expandable Upto 128 GB
16.26 cm (6.4 inch) HD Display
13MP Rear Camera | 5MP Front Camera
4050 mAh Li-Polymer Battery
MTK8735 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹8,999"
"Alcatel 5V (Spectrum Blue, 32 GB)",4.5,"3 GB RAM | 32 GB ROM |
15.75 cm (6.2 inch) Display
16MP Rear Camera | 13MP Front Camera
4000 mAh Battery
Brand Warranty of 18 Months Available for Mobile
","₹3,799"
Zen Power 205,4,"Expandable Upto 16 GB
6.1 cm (2.4 inch) Display
1.3MP Rear Camera
2800 mAh Battery
1 Year Manufacturer Warranty
","₹1,155"
Micromax X104C,4.2,"26 KB ROM | Expandable Upto 4 GB
4.55 cm (1.79 inch) QVGA Display
1800 mAh Li-Ion Battery
1 Year for Mobile & 6 Months for Accessories
","₹1,599"
Micromax X104C,4.2,"26 KB ROM | Expandable Upto 4 GB
4.55 cm (1.79 inch) QVGA Display
1800 mAh Li-Ion Battery
1 Year for Mobile & 6 Months for Accessories
","₹1,599"
"Samsung Galaxy A5 2016 Edition (White, 16 GB)",4.1,"2 GB RAM | 16 GB ROM | Expandable Upto 128 GB
13.21 cm (5.2 inch) Full HD Display
13MP Rear Camera | 5MP Front Camera
2900 mAh Li-Ion Battery
Exynos Exynos Octa Core 1.6GHz Processor
1 Year for Mobile & 6 Months Accessories Warranty
","₹14,490"
"Redmi Note 7S (Astro Moonlight White, 32 GB)",4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.0 cm (6.3 inch) Full HD+ Display
48MP + 5MP | 13MP Front Camera
4000 mAh Battery
Qualcomm Snapdragon 660 AIE Processor
Quick Charge 4.0 Support
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹8,999"
"Redmi 2 Prime (White, 16 GB)",4.3,"2 GB RAM | 16 GB ROM | Expandable Upto 32 GB
11.94 cm (4.7 inch) HD Display
8MP Rear Camera | 2MP Front Camera
2200 mAh Li-Ion Polymer Battery
Qualcomm Snapdragon 410 MSM8916 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","₹6,999"
"Tecno CAMON i Sky 3 (Champagne Gold, 32 GB)",4.2,"2 GB RAM | 32 GB ROM | Expandable Upto 128 GB
15.75 cm (6.2 inch) HD+ Display
13MP + 2MP | 8MP Front Camera
3500 mAh Battery
One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase.
","₹7,989"
